cours,hight,indice,low,open,time,var
9.092,9.142,CREDIT AGRICOLE SA,9.044,9.111,2022-10-26 17:40:21,-0.02%
132.820,134.220,AIR LIQUIDE,131.280,132.800,2022-10-26 17:40:21,+0.24%
105.900,106.200,AIRBUS,104.300,104.360,2022-10-26 17:40:21,+1.77%
20.250,20.250,ALSTOM,19.230,19.240,2022-10-26 17:40:21,+5.19%
1 367.000,1 374.000,HERMES INTL,1 342.000,1 355.500,2022-10-26 17:40:21,+0.92%
48.270,48.565,DANONE,47.685,48.455,2022-10-26 17:40:21,-0.65%
31.850,32.200,RENAULT,31.500,31.700,2022-10-26 17:40:21,+0.03%
47.230,47.650,BNP PARIBAS,47.030,47.445,2022-10-26 17:40:21,-0.22%
112.000,112.860,SAFRAN,110.100,110.200,2022-10-26 17:40:21,+1.50%
15.390,15.595,CARREFOUR,15.175,15.535,2022-10-26 17:40:21,-0.97%
83.340,83.430,SANOFI,82.330,82.700,2022-10-26 17:40:21,+1.28%
174.050,175.400,CAPGEMINI,171.850,171.900,2022-10-26 17:40:21,+0.61%
41.945,42.105,SAINT-GOBAIN,41.405,41.425,2022-10-26 17:40:21,+1.10%
24.830,25.035,AXA,24.755,24.910,2022-10-26 17:40:21,-0.56%
13.650,13.686,STELLANTIS,13.400,13.496,2022-10-26 17:40:21,+0.87%
92.030,92.560,VINCI,91.080,91.620,2022-10-26 17:40:21,+2.04%
34.940,35.050,STMICROELECTRONICS,33.920,34.195,2022-10-26 17:40:21,-0.68%
35.665,35.795,DASSAULT SYSTEMES,34.235,35.340,2022-10-26 17:40:21,-2.75%
132.560,133.660,SCHNEIDER ELECTRIC,131.300,131.380,2022-10-26 17:40:21,+0.96%
166.050,166.950,ESSILORLUXOTTICA,164.000,164.850,2022-10-26 17:40:21,+0.64%
276.000,276.400,TELEPERFORMANCE,271.100,274.000,2022-10-26 17:40:21,+0.44%
10.370,10.430,ATOS,9.348,9.504,2022-10-26 17:40:21,+14.03%
28.440,28.540,BOUYGUES,28.020,28.190,2022-10-26 17:40:21,+1.10%
52.920,53.370,TOTALENERGIES,52.410,53.000,2022-10-26 17:40:21,-0.62%
13.020,13.090,OVHCLOUD,12.100,12.100,2022-10-26 17:40:21,+8.59%
12.990,13.130,ENGIE,12.974,13.030,2022-10-26 17:40:21,-0.40%
22.510,23.070,VEOLIA,22.380,22.730,2022-10-26 17:40:21,-0.97%
2.368,2.378,SOLUTIONS 30,2.164,2.173,2022-10-26 17:40:21,+8.47%
65.680,65.800,EUROFINS SCIENTIFIC,64.020,64.820,2022-10-26 17:40:21,+1.08%
8.260,8.296,VIVENDI,8.164,8.296,2022-10-26 17:40:21,-0.72%
67.550,67.800,ERAMET,62.750,62.900,2022-10-26 17:40:21,+7.14%
23.265,23.470,SOCIETE GENERALE,23.125,23.375,2022-10-26 17:40:21,-0.02%
45.000,45.140,WORLDLINE,43.300,43.670,2022-10-26 17:40:21,+2.81%
12.730,12.730,MCPHY ENERGY,11.915,12.150,2022-10-26 17:40:21,+7.02%
126.250,126.250,THALES,122.150,122.250,2022-10-26 17:40:21,+3.82%
2.180,2.188,ELIOR GROUP,2.066,2.066,2022-10-26 17:40:21,+6.13%
477.200,479.900,KERING,470.250,472.750,2022-10-26 17:40:21,+1.02%
103.300,103.300,IPSEN,96.950,97.650,2022-10-26 17:40:21,+5.46%
78.420,78.860,LEGRAND,76.100,76.260,2022-10-26 17:40:21,+2.59%
20.250,20.250,ALSTOM,19.230,19.240,2022-10-26 17:40:21,+5.19%
663.000,663.600,LVMH,651.100,659.400,2022-10-26 17:40:21,+0.76%
11.095,11.110,VALLOUREC,10.620,10.665,2022-10-26 17:40:21,+4.42%
25.070,25.125,MICHELIN,23.700,23.700,2022-10-26 17:40:21,-1.80%
116.300,117.000,GTT (GAZTRANSPORT ET TEC.),111.800,114.100,2022-10-26 17:40:21,+4.30%
319.800,322.900,L'OREAL,317.850,321.400,2022-10-26 17:40:21,-0.58%
14.735,14.895,SCOR,14.070,14.100,2022-10-26 17:40:21,+4.06%
9.423,9.514,ORANGE,9.378,9.420,2022-10-26 17:40:21,+0.19%
126.250,126.250,THALES,122.150,122.250,2022-10-26 17:40:21,+3.82%
57.200,58.560,PUBLICIS GROUPE,56.820,58.560,2022-10-26 17:40:21,-2.32%
90.460,90.840,SODEXO,87.940,88.520,2022-10-26 17:40:21,+3.81%
176.300,177.050,PERNOD RICARD,173.050,176.900,2022-10-26 17:40:21,-0.70%
0.877,0.886,CGG,0.835,0.837,2022-10-26 17:40:21,+3.64%
8.685,8.705,CASINO GUICHARD PERRACHON,8.305,8.305,2022-10-26 17:40:21,+3.58%
17.250,17.295,REXEL,16.715,16.715,2022-10-26 17:40:21,+3.32%
103.500,103.800,TRIGANO,99.350,100.200,2022-10-26 17:40:21,+3.29%
329.200,329.200,SARTORIUS STEDIM BIOTECH,316.300,318.100,2022-10-26 17:40:21,+3.10%
6.754,6.864,VALNEVA,6.456,6.568,2022-10-26 17:40:21,+2.86%
15.880,15.890,GETLINK (ex: EUROTUNNEL),15.320,15.400,2022-10-26 17:40:22,+2.85%
40.600,40.680,IMERYS,39.840,40.060,2022-10-26 17:40:22,+2.84%
45.000,45.140,WORLDLINE,43.300,43.670,2022-10-26 17:40:22,+2.81%
9.170,9.215,EUTELSAT COMMUNIC.,8.940,8.945,2022-10-26 17:40:22,+2.69%
14.245,14.300,FAURECIA,13.550,13.865,2022-10-26 17:40:22,+2.63%
24.260,24.340,SPIE,23.640,23.640,2022-10-26 17:40:22,+2.62%
